course_code,lesson_no,lesson_title,youtube_url
ONB-01,1,The Ministry of Health and the directorate,
ONB-01,2,The programme manager and the reporting lines,
ONB-01,3,"Partners: who funds, who advises, who decides",
ONB-01,4,"Case management, vector control and prevention",
ONB-01,5,"Surveillance, monitoring and evaluation",
ONB-01,6,"Supply chain, behaviour change, finance and administration",
ONB-01,7,"Policy, guideline and job aid",
ONB-01,8,"Training, supervision and commodities",
ONB-01,9,"Data coming back, and why that closes the loop",
ONB-02,1,Plasmodium falciparum and why it is the one that kills,
ONB-02,2,Anopheles gambiae and funestus in Sierra Leone,
ONB-02,3,"Night biting, and why a net used every night works",
ONB-02,4,Children under five and pregnant women,
ONB-02,5,Partial immunity and the infectious person who looks well,
ONB-02,6,"Distance, poverty and late care seeking",
ONB-02,7,"Rainfall, land use, mining pits and rice growing",
ONB-02,8,Service availability and behaviour by district,
ONB-02,9,What variation means for planning,
ONB-03,1,Representing the programme honestly,
ONB-03,2,Conflict of interest in procurement and recruitment,
ONB-03,3,"Per diem, fuel and allowances",
ONB-03,4,"Position, power and what may never be asked for",
ONB-03,5,Children and pregnant women as the groups most at risk,
ONB-03,6,"Reporting the same day, and protection for the reporter",
ONB-03,7,Taking the minimum identifiers you actually need,
ONB-03,8,"Personal phones, personal email and why not",
ONB-03,9,"Consent, reuse and deleting working copies",
NMDR-00,1,Why a national malaria data repository exists,
NMDR-00,2,"The layers: source, extraction, storage, analysis, dashboards",
NMDR-00,3,Where DHIS2 sits and what it does not do,
NMDR-00,4,Facility register to monthly summary,
NMDR-00,5,DHIS2 to the repository through scheduled extraction,
NMDR-00,6,Stored data to a dashboard a district can read,
NMDR-00,7,The eight modules and the numbering,
NMDR-00,8,"Data, report and dashboard: the pattern that repeats",
NMDR-00,9,"Roles, empty pages and what to do about them",
NMDR-1.0,1,1.0.1.1.1 HMIS monthly data extraction,
NMDR-1.0,2,1.0.1.1.2 The malaria epi dashboard,
NMDR-1.0,3,1.0.1.2.1 eIDSR weekly data extraction,
NMDR-1.0,4,1.0.1.2.2 The eIDSR dashboard and the epidemic threshold,
NMDR-1.0,5,1.0.2.1 Data quality assessment,
NMDR-1.0,6,"1.0.2.2.1 Fever, suspected malaria",
NMDR-1.0,7,1.0.2.2.2 Tested,
NMDR-1.0,8,1.0.2.2.3 Confirmed malaria case,
NMDR-1.0,9,1.0.2.2.4 Confirmed and treated,
NMDR-1.0,10,1.0.2.2.5 Presumptive treatment,
NMDR-1.0,11,1.0.2.2.6 Treated,
NMDR-1.0,12,1.0.2.3.1 Reporting rate,
NMDR-1.0,13,1.0.2.3.2 Testing rate,
NMDR-1.0,14,1.0.2.3.3 Test positivity rate,
NMDR-1.0,15,1.0.2.3.4 Confirmed and treatment rate,
NMDR-1.0,16,"1.0.2.4.1 Comparative analysis, under five",
NMDR-1.0,17,"1.0.2.4.2 Comparative analysis, all ages",
NMDR-1.0,18,1.0.2.5 Reporting,
NMDR-1.0,19,1.0.3.1 Data,
NMDR-1.0,20,1.0.3.2 Report,
NMDR-1.0,21,1.0.3.3 Dashboard,
NMDR-2.0,1,What the supply chain module holds,
NMDR-2.0,2,How commodity data reaches the repository,
NMDR-2.0,3,2.0.1.1 Data: consumption and morbidity based forecasting,
NMDR-2.0,4,"2.0.1.2 Dashboard: quantities, costs and the delivery schedule",
NMDR-2.0,5,"2.0.2.1 Data: movements, receipts and reconciliation",
NMDR-2.0,6,2.0.2.2 Dashboard: months of stock and stock out days,
NMDR-3.0,1,"3.0.1.1 PMC, perennial malaria chemoprevention",
NMDR-3.0,2,3.0.1.2 Malaria vaccine,
NMDR-3.0,3,3.0.1.3 Penta,
NMDR-3.0,4,3.0.1.4 Measles,
NMDR-3.0,5,3.0.1.5 Vitamin A,
NMDR-3.0,6,"3.0.1.6 IPTp, preventive treatment in pregnancy",
NMDR-3.0,7,"3.0.1.7 ANC, antenatal care as the platform",
NMDR-3.0,8,3.0.2.1 Mass ITN distribution,
NMDR-3.0,9,"3.0.2.2 SBD, school based distribution",
NMDR-3.0,10,"3.0.2.3 IRS, indoor residual spraying",
NMDR-4.0,1,"4.0.1.1 Data: species, biting rate, resting behaviour, sporozoite rate",
NMDR-4.0,2,"4.0.1.2 Report: sentinel sites, methods and their bias",
NMDR-4.0,3,4.0.1.3 Dashboard: by site and by season,
NMDR-4.0,4,"4.0.2.1 Data: bioassays, intensity and synergist tests",
NMDR-4.0,5,4.0.2.2 Report: reading mortality and confirming resistance,
NMDR-4.0,6,4.0.2.3 Dashboard: the resistance picture and product choice,
NMDR-5.0,1,5.0.1 User guide,
NMDR-5.0,2,5.0.2 Monthly bulletin,
NMDR-5.0,3,5.0.3 Malaria programme documents,
